model,artifacts,validator_pass_count,mean_combined_score,mean_D1_requirement_fidelity,mean_D2_architectural_grounding,mean_D3_formalization_adequacy,mean_D4_unsupported_content_control,mean_D5_reviewability,review_usable_rate,strict_review_usable_rate,end_to_end_usable_rate,expert_disagreement_rate
Codestral-2508,459,367,4.6767,4.6373,4.8279,4.4597,4.7113,4.8366,0.8715,0.8649,0.7538,0.1198
Gemma-3-27B,459,232,4.2670,4.1797,4.3410,4.0447,4.7843,4.3148,0.6340,0.6275,0.4641,0.3377
GPT-5.4,459,406,4.7787,4.7081,4.9488,4.6155,4.7876,4.9183,0.9107,0.9041,0.8235,0.0458
Llama-3.1-70B,459,306,4.3813,4.2996,4.4739,4.1797,4.7331,4.4869,0.6906,0.6885,0.6209,0.2941
Qwen3-Coder-30B,459,391,4.6447,4.6024,4.8453,4.4063,4.5675,4.8453,0.8366,0.8235,0.7364,0.1503
